SCOTLAND INTERNATIONAL FOOTBALLERS (1+ CAPS) WITH FIRST CAP AFTER NOVEMBER 5, 1995
Total: 232 players
================================================================================

 52. James McFadden            |  48 caps | 15 goals | First: May 20, 2002    vs South Africa    | Last: September 07, 2010 vs Liechtenstein
 53. Paul Gallacher            |   8 caps |  0 goals | First: May 23, 2002    vs Hong Kong League XI | Last: May 27, 2004    vs Estonia
 54. Warren Cummings           |   1 caps |  0 goals | First: May 23, 2002    vs Hong Kong League XI | Last: May 23, 2002    vs Hong Kong League XI
 55. Derek McInnes             |   2 caps |  0 goals | First: August 21, 2002 vs Denmark         | Last: November 20, 2002 vs Portugal
 56. Russell Anderson          |  11 caps |  0 goals | First: October 12, 2002 vs Iceland         | Last: March 26, 2008  vs Croatia
 57. Paul Devlin               |  10 caps |  0 goals | First: October 15, 2002 vs Canada          | Last: September 06, 2003 vs Faroe Islands
 58. Ian Murray                |   6 caps |  0 goals | First: October 15, 2002 vs Canada          | Last: May 13, 2006    vs Japan
 59. Jamie Smith               |   2 caps |  0 goals | First: February 12, 2003 vs Republic of Ireland | Last: April 30, 2003  vs Austria
 60. Andy Gray                 |   2 caps |  0 goals | First: April 02, 2003  vs Lithuania       | Last: May 27, 2003    vs New Zealand
 61. Andy Webster              |  28 caps |  1 goals | First: April 30, 2003  vs Austria         | Last: February 06, 2013 vs Estonia
 62. Brian Kerr                |   3 caps |  0 goals | First: May 27, 2003    vs New Zealand     | Last: May 30, 2004    vs Trinidad and Tobago
 63. Darren Fletcher           |  80 caps |  5 goals | First: August 20, 2003 vs Norway          | Last: October 08, 2017 vs Slovenia
 64. Stephen Pearson           |  10 caps |  0 goals | First: November 15, 2003 vs Netherlands     | Last: October 17, 2007 vs Georgia
 65. Graeme Murty              |   4 caps |  0 goals | First: February 18, 2004 vs Wales           | Last: October 17, 2007 vs Georgia
 66. Paul Gallagher            |   1 caps |  0 goals | First: February 18, 2004 vs Wales           | Last: February 18, 2004 vs Wales
 67. John Kennedy              |   1 caps |  0 goals | First: March 31, 2004  vs Romania         | Last: March 31, 2004  vs Romania
 68. Malky Mackay              |   5 caps |  0 goals | First: April 28, 2004  vs Denmark         | Last: September 08, 2004 vs Slovenia
